时间,价格(usd),成交额,市值
"2021-08-21 00:00","1.0007219215","12444848.6459498852","6048791078.6420602798",
"2021-08-20 00:00","1.0005664218","11903583.2193024699","6033460365.4468269348",
"2021-08-19 00:00","1.0009062612","14911926.2144489139","6005286666.3386154175",
"2021-08-18 00:00","1.0006923992","18349238.4723322242","5994766717.2133073807",
"2021-08-17 00:00","1.0006008256","13598281.4395883847","5995255556.0005569458",
"2021-08-16 00:00","1.0004019858","11227256.9534998164","5989407387.5407276154",
"2021-08-15 00:00","1.0020705917","7152675.3256499236","5972890187.1132898331",
"2021-08-14 00:00","1.0014365507","14423682.7582101878","5944538520.7923259735",
"2021-08-13 00:00","1.0016453446","13769743.2089720648","5925236952.8044176102",
"2021-08-12 00:00","1.0012762708","18888481.2408386245","5874735415.1910810471",
"2021-08-11 00:00","1.0007908416","17966091.5656328313","5838191432.1939096451",
"2021-08-10 00:00","1.0011467059","15139824.2862013914","5808285239.5863609314",
"2021-08-09 00:00","1.0009191375","16154712.9244526140","5792888087.7716264725",
"2021-08-08 00:00","1.0022541505","14324487.9254500233","5766146622.7142810822",
"2021-08-07 00:00","1.0013072278","22125911.6128882207","5711683928.7774286270",
"2021-08-06 00:00","1.0011001324","17272380.0855474286","5696946348.4546794891",
"2021-08-05 00:00","1.0019804056","17907390.2375194691","5703222711.0435371399",
"2021-08-04 00:00","1.0005904333","8888225.0610947479","5685885307.1920280457",
"2021-08-03 00:00","1.0006063070","11550647.0887261443","5685057884.5438060760",
"2021-08-02 00:00","1.0012499838","11120602.5237104371","5665242047.5401401520",
"2021-08-01 00:00","1.0009157784","11581164.1972075235","5655730755.5830087662",
"2021-07-31 00:00","1.0008694555","10462611.8479217943","5624841528.3731384277",
"2021-07-30 00:00","1.0013047012","11834113.2310097925","5604241798.2207231522",
"2021-07-29 00:00","1.0015156857","6127579.8785466990","5616883283.1184892654",
"2021-07-28 00:00","1.0009268100","14844133.2612425312","5595099522.1079463959",
"2021-07-27 00:00","1.0011388599","15852791.7996714879","5566541961.1221351624",
"2021-07-26 00:00","1.0016771194","15901554.3778459914","5565449590.4686641693",
"2021-07-25 00:00","1.0015429176","7564327.0048574340","5550070290.0158948898",
"2021-07-24 00:00","1.0017762771","8656167.9416646063","5476863435.7904396057",
"2021-07-23 00:00","1.0016072682","10427080.5624081995","5485998334.2446603775",
"2021-07-22 00:00","1.0013468117","8163000.9670981290","5504417111.3058195114",
"2021-07-21 00:00","1.0009938450","9369478.1515365876","5468460372.1585950851",
"2021-07-20 00:00","1.0012390178","13492947.4117140658","5456058844.3728723526",
"2021-07-19 00:00","1.0017385812","8515259.0715503674","5485625629.3523025513",
"2021-07-18 00:00","1.0021357925","4734227.3441507453","5509947223.8459806442",
"2021-07-17 00:00","1.0013060206","5873379.3975196416","5504988797.2702722549",
"2021-07-16 00:00","1.0016994916","7100292.3993005743","5491021588.3264570236",
"2021-07-15 00:00","1.0045042119","9808760.4608567934","5506230407.8136196136",
"2021-07-14 00:00","1.0012584546","10897680.3373669051","5480777207.5205163956",
"2021-07-13 00:00","1.0012520561","10309327.9899925701","5518927323.8997726440",
"2021-07-12 00:00","1.0013643283","5648151.9952324787","5498758995.5885686874",
"2021-07-11 00:00","1.0018738266","5475519.4776416868","5499819671.0206089020",
"2021-07-10 00:00","1.0012525009","6267028.2598489886","5501390290.1757631302",
"2021-07-09 00:00","1.0016247071","7510973.8858859418","5500206201.1893939972",
"2021-07-08 00:00","1.0070996921","17174060.2340386026","5524554832.2690029144",
"2021-07-07 00:00","1.0021062138","10869566.7401164845","5492091503.7479648590",
"2021-07-06 00:00","1.0015402407","13795513.7944262214","5469851740.2368469238",
"2021-07-05 00:00","1.0031814812","11925952.3387984186","5473668261.8511276245",
"2021-07-04 00:00","1.0031496696","6607463.3948140796","5443935454.9570684433",
"2021-07-03 00:00","1.0015493703","7694920.3595523257","5419840334.0707397461",
"2021-07-02 00:00","1.0024619093","13471289.4189687930","5419141614.4556512833",
"2021-07-01 00:00","1.0018460002","15943353.2064483184","5407888003.6437377930",
"2021-06-30 00:00","1.0019985183","19548285.1593457274","5243665499.2586908340",
"2021-06-29 00:00","1.0017637258","18191001.4878608249","5211454943.9192047119",
"2021-06-28 00:00","1.0021667740","15624261.5311270189","5160597117.1233129501",
"2021-06-27 00:00","1.0129853463","18491142.8508903980","5206443783.5759935379",
"2021-06-26 00:00","1.0028242415","17635224.7235622965","5171371156.7739782333",
"2021-06-25 00:00","1.0020411937","17939487.2195167020","5202603695.3300685883",
"2021-06-24 00:00","1.0029975077","15141025.4102103524","5134516666.0812063217",
"2021-06-23 00:00","1.0024433601","28871823.1344726458","5109276571.6249132156",
"2021-06-22 00:00","1.0017698152","68231579.7854538709","5104034188.8382377625",
"2021-06-21 00:00","1.0037972213","28885638.1221100800","5235359900.9435091019",
"2021-06-20 00:00","1.0025530915","20747338.2721569426","5215352826.4161233902",
"2021-06-19 00:00","1.0015937415","21045596.8208258115","5270852667.1198081970",
"2021-06-18 00:00","1.0036863885","14923674.6582317650","5243946546.5233535767",
"2021-06-17 00:00","1.0025742999","18002900.4764510505","5302949719.6765775681",
"2021-06-16 00:00","1.0036507391","17219638.0033316314","5377780856.2079143524",
"2021-06-15 00:00","1.0017637952","19540796.8016857319","5260539047.4214439392",
"2021-06-14 00:00","1.0018862903","17409458.5585221499","5245320053.2218170166",
"2021-06-13 00:00","1.0020928923","11109860.6574935019","5226166415.9429273605",
"2021-06-12 00:00","1.0005112701","17579882.0943046659","5188808721.2765693665",
"2021-06-11 00:00","1.0017707205","16782714.1010321938","5135526091.4825649261",
"2021-06-10 00:00","1.0005445346","17820966.4907811694","5114077137.3490514755",
"2021-06-09 00:00","1.0014282816","32333554.6687387116","4911684993.3639011383",
"2021-06-08 00:00","1.0052135896","30822067.3635836877","4906651697.6501293182",
"2021-06-07 00:00","1.0041009652","13973343.8064958192","4832908730.6085872650",
"2021-06-06 00:00","1.0022921506","10113982.6353411674","4809102369.9980936050",
"2021-06-05 00:00","1.0020654674","15977624.6264858712","4798427163.0401849747",
"2021-06-04 00:00","1.0035242389","32342936.6575535461","4788107123.3541507721",
"2021-06-03 00:00","1.0015266337","21504468.2889861017","4706618307.6676244736",
"2021-06-02 00:00","0.9993809149","16281060.8774724659","4643012718.5517835617",
"2021-06-01 00:00","1.0010870046","18905400.7099215165","4656544362.2225074768",
"2021-05-31 00:00","0.9998645137","19564409.2674217969","4664665501.7187023163",
"2021-05-30 00:00","1.0011196120","31631127.3767800778","4680957336.1555805206",
"2021-05-29 00:00","1.0028965224","34765275.4023965076","4660985485.1983785629",
"2021-05-28 00:00","1.0026055674","36300055.5462280437","4640373998.2206106186",
"2021-05-27 00:00","1.0013262120","33768237.3772820458","4607050464.2971286774",
"2021-05-26 00:00","1.0013646540","47051504.6310848072","4542682660.8738002777",
"2021-05-25 00:00","1.0012377355","55298233.2057507932","4480018125.8474969864",
"2021-05-24 00:00","0.9993591788","60493110.9545483589","4328854671.1174440384",
"2021-05-23 00:00","1.0023515502","46847371.6303781271","4433210686.2196998596",
"2021-05-22 00:00","1.0009395370","72168867.7695335001","4430586391.0952682495",
"2021-05-21 00:00","1.0030671035","152055176.1712014377","4474094044.8983306885",
"2021-05-20 00:00","1.0007363343","99842764.5601094067","4399748330.8427600861",
"2021-05-19 00:00","1.0063889742","120351345.7278041691","4978405987.0473747253",
"2021-05-18 00:00","1.0010409998","59664829.2370225638","4937664881.9020423889",
"2021-05-17 00:00","1.0006052774","66109734.0581213236","4866836067.6181926727",
"2021-05-16 00:00","1.0005842171","32193254.3798479252","4807824721.2915124893",
"2021-05-15 00:00","1.0008321989","33877292.8325902596","4792520598.2743749619",
"2021-05-14 00:00","1.0009995867","45149008.7513083741","4720956305.4509410858",
"2021-05-13 00:00","0.9992855234","74871042.5735213310","4745435260.7260608673",
"2021-05-12 00:00","1.0013396650","33865563.3504089415","4823770833.4833288193",
"2021-05-11 00:00","0.9990648048","43464201.0919269696","4730254180.0908145905",
"2021-05-10 00:00","1.0013663294","34372259.4131106287","4719975383.4102849960",
"2021-05-09 00:00","1.0007852142","42188578.3906929418","4626520719.5753164291",
"2021-05-08 00:00","1.0009786535","30957863.7697205506","4544298983.2933130264",
"2021-05-07 00:00","1.0015942999","45476477.5426238105","4460884930.3479156494",
"2021-05-06 00:00","1.0014110046","35625787.3186389059","4371950015.4847040176",
"2021-05-05 00:00","1.0011939914","38229975.5263227671","4150139519.5886664391",
"2021-05-04 00:00","1.0013046405","32430880.4696615078","4085716444.8657884598",
"2021-05-03 00:00","1.0014270744","25563467.3817139007","3993774642.4518456459",
"2021-05-02 00:00","1.0012626370","17255606.5743859671","3924821403.0262904167",
"2021-05-01 00:00","1.0015443133","22458033.0723719373","3876925638.5980162621",
"2021-04-30 00:00","1.0008269488","24013145.7817113586","3830252579.4252853394",
"2021-04-29 00:00","1.0010513357","20306611.1748276688","3769472300.9557847977",
"2021-04-28 00:00","1.0009524537","29718644.4437498376","3738776622.0028100014",
"2021-04-27 00:00","1.0014642592","19502385.0042496510","3706665664.2491016388",
"2021-04-26 00:00","1.0005155072","29947124.3380593732","3639449977.7234096527",
"2021-04-25 00:00","1.0011179840","11110938.8099586591","3606961364.7240047455",
"2021-04-24 00:00","1.0010958027","27167405.9731380418","3588475938.2332124710",
"2021-04-23 00:00","1.0013382930","50368746.9027903304","3577045935.2693901062",
"2021-04-22 00:00","1.0002425374","27778784.0634688847","3604852219.2395167351",
"2021-04-21 00:00","0.9994241978","22138665.6482223682","3581498937.7177948952",
"2021-04-20 00:00","1.0003154922","33756982.6244118959","3567240096.9233741760",
"2021-04-19 00:00","0.9999603487","39898631.2017987669","3569478425.8353080750",
"2021-04-18 00:00","1.0015777407","51614658.9195740595","3542452814.6263275146",
"2021-04-17 00:00","1.0006639890","21505978.6248579174","3535703583.4466266632",
"2021-04-16 00:00","0.9999749187","26440374.0614700764","3413145188.5619430542",
"2021-04-15 00:00","1.0010879475","19786764.4816800877","3307565449.9492292404",
"2021-04-14 00:00","0.9993592725","28782092.2944462225","3233221550.4330554008",
"2021-04-13 00:00","0.9971238282","25595387.6033879183","3261135454.3546042442",
"2021-04-12 00:00","0.9997604435","14215150.1047971006","3262721939.6324877739",
"2021-04-11 00:00","1.0001088118","13160407.0571113825","3255035567.4157662392",
"2021-04-10 00:00","1.0002723446","17102170.9776679501","3182525020.0184211731",
"2021-04-09 00:00","0.9988788424","9819433.2010204699","3177969427.4340853691",
"2021-04-08 00:00","1.0004326620","14779134.0798622686","3177716878.6376900673",
"2021-04-07 00:00","1.0002251123","20167385.0489973538","3188508426.4752640724",
"2021-04-06 00:00","0.9999802878","16374030.3234373387","3166676575.3060173988",
"2021-04-05 00:00","0.9996297750","38318603.0063269958","3159311017.5102634430",
"2021-04-04 00:00","1.0009896260","15829735.4873212650","3175135719.0869688988",
"2021-04-03 00:00","1.0000568632","18162466.2371681742","3155662537.6761069298",
"2021-04-02 00:00","1.0009734498","18108708.1706503145","3081907349.0679507256",
"2021-04-01 00:00","0.9988049478","17381037.6566507928","3012031808.0896940231",
"2021-03-31 00:00","1.0005088710","12769632.3651074469","3016619200.4167556763",
"2021-03-30 00:00","1.0006753769","22337519.4281960279","2999896705.5006151199",
"2021-03-29 00:00","1.0005864398","14973060.8531207889","2993413095.4095864296",
"2021-03-28 00:00","0.9991476393","11660091.4167023674","2967628781.9282150269",
"2021-03-27 00:00","1.0013973984","12144374.9049690124","2963668002.2686858177",
"2021-03-26 00:00","1.0006512407","14483028.2308321819","2943662772.5158996582",
"2021-03-25 00:00","1.0018514179","23417788.0137474760","2942311492.7376060486",
"2021-03-24 00:00","1.0010664636","13716342.4732143264","2924877333.9694757462",
"2021-03-23 00:00","0.9996238655","18148889.3556844220","2915499837.9834117889",
"2021-03-22 00:00","1.0017814148","14374618.0009549279","2906062201.5564856529",
"2021-03-21 00:00","1.0014827319","15344119.5563758910","2874159113.5922846794",
"2021-03-20 00:00","1.0016894467","17824699.9703317806","2872997860.0224924088",
"2021-03-19 00:00","1.0013817802","16284675.5952884424","2865668143.2580184937",
"2021-03-18 00:00","1.0014663151","20231528.5616225116","2857191045.4007453918",
"2021-03-17 00:00","1.0011528035","23846142.4379767515","2820261044.6136636734",
"2021-03-16 00:00","1.0014998542","22048706.1833612546","2817179189.3230252266",
"2021-03-15 00:00","1.0018911198","28545540.8683870956","2768655561.3801741600",
"2021-03-14 00:00","1.0019023225","23776525.0716649257","2746787705.8039798737",
"2021-03-13 00:00","1.0017801004","19174586.8863855749","2710652302.7970099449",
"2021-03-12 00:00","1.0017717693","18786199.5979675278","2671120958.5510182381",
"2021-03-11 00:00","1.0028657835","19695228.7762266137","2627107328.2024316788",
"2021-03-10 00:00","1.0009136124","19394918.9547507986","2609127987.4964456558",
"2021-03-09 00:00","1.0010916453","21157381.2456879802","2597005383.1510519981",
"2021-03-08 00:00","1.0005884167","14360094.1188560147","2562395377.3222837448",
"2021-03-07 00:00","0.9998865430","14743988.8362292945","2567594415.7836465836",
"2021-03-06 00:00","0.9995680713","13280659.8211240489","2566346634.1720752716",
"2021-03-05 00:00","1.0012436297","21586438.2556835078","2530564034.2919974327",
"2021-03-04 00:00","1.0011905977","23680980.0063143298","2535386542.9230370522",
